Name,Latitude,Longitude,County,Zipcode,Address
RX POINT PHARMACY INC,34.27078,-118.74299,Ventura,93065,915 North 10th St Ste 2
Adventist Health Tehachapi - Mobile McFarland Jr. High,35.67098,-119.23232,Kern,93250,915 North 10th St Ste 2
The Medicine Shoppe Pharmacy (2241 Michael Drive),34.18213,-118.92602,Ventura,91320,915 North 10th St Ste 2
Garey Pharmacy,34.10412,-117.74874,Los Angeles,91767,915 North 10th St Ste 2
Delano Regional Medical Center – Delano,35.76192,-119.23839,Kern,NA,915 North 10th St Ste 2
San Mateo County Event Center,37.54689,-122.30165,San Mateo,94403,1346 Saratoga Dr. 
Sav-On Pharmacy #2935,33.83089,-118.27637,Los Angeles,90745,1346 Saratoga Dr. 
WalMart Pharmacy 10-3090,38.78387,-121.23978,Placer,95677,1346 Saratoga Dr. 
KEY PHARMACY,34.15745,-118.40938,Los Angeles,91607,1346 Saratoga Dr. 
WALGREENS #10881,39.23521,-121.03496,Nevada,95945,1346 Saratoga Dr. 
Primary Care 1811 Wilshire - The Doctors of Saint Johns,34.03064,-118.48494,Los Angeles,90403,1346 Saratoga Dr. 
Dignity Health Medical Foundation - Belmont,37.52436,-122.26596,San Mateo,94002,1346 Saratoga Dr. 
CVMG MIlliken,34.1088,-117.55573,San Bernardino,91730,1346 Saratoga Dr. 
CVS Pharmacy & Drug Store at 10650 San Pablo Ave El Cerrito,37.9129,-122.3078,Contra Costa,94530,1346 Saratoga Dr. 
Vista Community Clinic- The Gary Center S. Harbour Blvd,33.93077,-117.93392,Orange,90631,1346 Saratoga Dr. 
CVS Pharmacy at 510 C Street,33.18836,-117.37904,San Diego,92101,1346 Saratoga Dr. 
WALGREENS #6656,32.74864,-117.1247,San Diego,92104,1346 Saratoga Dr. 
Ralphs Pharmacy (1050 N Western Ave),33.75276,-118.30864,Los Angeles,90732,1346 Saratoga Dr. 
Marina VA Clinic (Major General William H. Gourley VA-DoD Outpatient Clinic in Monterrey),37.25628,-121.79053,Monterey,NA,201 9th Street
CVS Pharmacy at 11623 Rosecrans Ave.,33.90205,-118.08563,Los Angeles,90650,201 9th Street
PORTER RANCH PHARMACY,34.27535,-118.56939,Los Angeles,91326,201 9th Street
LANVY PHARMACY,33.74524,-117.95471,Orange,92683,201 9th Street
WALGREENS #2575,38.10549,-122.20773,Solano,94591,201 9th Street
United Health Centers Pharmacy Earlimart,35.88466,-119.27169,Tulare,93219,201 9th Street
Coalinga Valley Health Clinics - Huron,36.20059,-120.10258,Fresno,93234,201 9th Street
College of Sequoias,36.32311,-119.3145,San Joaquin,93277,201 9th Street
Marque Urgent Care - Gov,32.85441,-117.20229,San Diego,92122,201 9th Street
WALGREENS #4570,37.74188,-122.49839,San Francisco,94116,3001 Taraval St.
DRUG CO PHARMACY,33.12977,-117.06686,San Diego,92027,3001 Taraval St.
CVS Pharmacy at 10208 Balboa Blvd.,34.27226,-118.50222,Los Angeles,91344,3001 Taraval St.
Orchard Hospital[5] – Biggs-Gridley,39.36797,-121.6897,Butte,95948,3001 Taraval St.
Mountain View Health Center,35.6344,-118.40628,Kern,93240,3001 Taraval St.
Santa Barbara County Public Health - Community Health,34.44489,-119.78116,Santa Barbara,93110,3001 Taraval St.
Lucky Pharmacy,34.10213,-118.10397,Los Angeles,91766,3001 Taraval St.
Allergy and Asthma Medical Group of the Bay Area,37.92987,-122.02712,Contra Costa,94598,3001 Taraval St.
Omni Family Health - Taft Community Health Center,35.14894,-119.45303,Kern,93268,3001 Taraval St.
Hemchand kolli MD,33.74958,-116.95887,Riverside,92543,3001 Taraval St.
UCLA Health - Thousand Oaks Internal Medicine,34.17733,-118.86521,Los Angeles,91360,3001 Taraval St.
MayView Community Health Center,37.38739,-122.08867,Santa Clara,94040,3001 Taraval St.
WALGREENS #9716,37.73999,-121.14162,San Joaquin,95366,3001 Taraval St.
ENCINO PHARMACY aka MDR PHARMACETUICAL CARE,34.16031,-118.50496,Los Angeles,91316,3001 Taraval St.
Fremont-Rideout Health Group,39.13817,-121.59423,Sutter,NA,3001 Taraval St.
SAV-ON PHARMACY #2551,33.79181,-117.76349,Orange,92869,3001 Taraval St.
WALGREENS #2867,36.59915,-121.85072,Monterey,93955,3001 Taraval St.
Ralphs Pharmacy (14049 Ventura Blvd),34.14947,-118.43885,Los Angeles,91403,3001 Taraval St.
EL TEJON Pharmacy,35.35442,-119.03537,Kern,93304,3001 Taraval St.
OLYMPIC GERHART PHARMACY,34.01363,-118.14709,Los Angeles,90022,3001 Taraval St.
United Health Centers Pharmacy Mendota,36.76625,-120.38342,Fresno,93640,3001 Taraval St.
LOS BANOS DRUG CO,37.05966,-120.84846,Merced,93635,3001 Taraval St.
COMMUNITY HEALTH CENTERS OF AMERICA,37.38553,-120.72294,Merced,95334,3001 Taraval St.
Altura Centers for Health-Woodville,36.09278,-119.19643,Tulare,93257,3001 Taraval St.
RITE AID PHARMACY 06071,38.57067,-121.46544,Sacramento,95816,3001 Taraval St.
Western Sierra Clinic,39.23567,-121.03122,Nevada,95945,3001 Taraval St.
Naval Hospital Lemoore,36.26413,-119.89304,Kings,93245,3001 Taraval St.
Rite Aid Pharmacy #5844,34.53547,-118.04526,NA,93552,3001 Taraval St.
Wellspring Pharmacy,37.82701,-122.25117,Alameda,94611,3001 Taraval St.
Orange County Fire Authority (OCFA) Irvine fire station,33.74754,-117.76719,Orange,92602,3001 Taraval St.
MemorialCare Medical Group - Santa Ana,33.76001,-117.88348,Orange,92706,3001 Taraval St.
SAFEWAY PHARMACY #2707,38.00876,-121.32129,San Joaquin,95207,3001 Taraval St.
WESTMED PHARMACY,33.77333,-117.98627,Orange,92844,3001 Taraval St.
Mens Health Foundation - WeHo,34.09051,-118.36992,NA,90069,3001 Taraval St.
CHOC CLINIC PHARMACY,33.78061,-117.86519,Orange,92868,3001 Taraval St.
RE COMMUNITY PHARMACY,33.49434,-117.66315,Orange,92675,3001 Taraval St.
CSV PMQ Wible Pharmacy,35.33288,-119.03851,Kern,93304,3001 Taraval St.
KANAN PHARMACY AND MEDICAL SUPPLY,34.15636,-118.75621,Los Angeles,91301,3001 Taraval St.
RITE AID PHARMACY 05923,38.00902,-122.27225,Contra Costa,94547,3001 Taraval St.
CVS Pharmacy Inc. #09512,33.94522,-117.99703,Los Angeles,90603,3001 Taraval St.
COSTCO PHARMACY #38,38.0188,-121.29275,San Joaquin,95210,3001 Taraval St.
LINCOLN PHARMACY,38.86971,-121.29419,Placer,95648,3001 Taraval St.
United Health Centers -Fresno-Tuolumne Health Center,36.7423,-119.78748,Fresno,93721,3001 Taraval St.
Planned Parenthood Anaheim Health Center,33.83524,-117.91813,Orange,92805,3001 Taraval St.
Central Valley Cancer Center,37.3214,-120.47667,Merced,95348,3175 Collins Drive
Carmel Valley Pharmacy,32.95405,-117.23012,San Diego,92130,3175 Collins Drive
WALGREENS #12574,36.75818,-119.75525,Fresno,93703,3175 Collins Drive
CVS Pharmacy at 2780 Esplanade,39.76061,-121.86507,Butte,95973,3175 Collins Drive
Mercy Medical Center Merced Dominican Campus,37.33997,-120.46731,Merced,95340,3175 Collins Drive
COSTCO PHARMACY #741,35.25211,-120.69163,San Luis Obispo,93405,3175 Collins Drive
RALEYS PHARMACY #431,38.59731,-121.34433,Sacramento,95608,3175 Collins Drive
SMC PHARMACY,34.02791,-118.48043,Los Angeles,90404,3175 Collins Drive
Fireside Pharmacy (43875 Wahington St. Suite A Palm Desert),33.73028,-116.30423,Riverside,92211,3175 Collins Drive
Super Site: Fresno Fairgrounds,36.73039,-119.75097,Fresno,93702,3175 Collins Drive
HEALTHCARE MEDICAL PHARMACY,34.06699,-118.12269,Los Angeles,91754,3175 Collins Drive
VONS PHARMACY #2598,34.23067,-118.24939,Los Angeles,91214,3175 Collins Drive
Marin Wellness Pharmacy,38.01737,-122.53835,Marin,94903,3175 Collins Drive
TrueCare Perris Health Center,33.8027,-117.22498,Riverside,92571,3175 Collins Drive
Farmacia Superior,34.05514,-118.38393,Los Angeles,90035,3175 Collins Drive
ST MARY HEALTH CENTERS - 11965 Cactus Rd,34.53505,-117.40232,San Bernardino,92301,3175 Collins Drive
ScriptSite Pharmacy,37.78511,-122.40742,San Francisco,94102,3175 Collins Drive
COMPTON COMM PHARMACY,33.89622,-118.2335,Los Angeles,90220,3175 Collins Drive
ELDAHMY WELLNESS PHARMACY,32.63425,-117.07661,San Diego,91910,3175 Collins Drive
Vernbro Medical Pharmacy Inc.,34.00394,-118.27727,Los Angeles,90037,3175 Collins Drive
Stanford Health Care - Las Positas Blvd,37.69364,-121.88053,Alameda,94588,3175 Collins Drive
CVS Pharmacy Inc. #10433,34.10187,-118.3249,Los Angeles,90028,3175 Collins Drive
Shriners Hospital – Los Angeles,34.13053,-118.15076,Los Angeles,91105,3175 Collins Drive
15TH STREET PHARMACY,34.02579,-118.48638,Los Angeles,90404,3175 Collins Drive
Walgreens Co. #12694,33.71609,-117.93749,Orange,92708,3175 Collins Drive
GOLDEN STATE PHARMACY,37.96948,-121.28989,San Joaquin,95204,3175 Collins Drive
El Camino Health Urgent Care - Carbon Health,37.41705,-121.95402,Santa Clara,95134,3175 Collins Drive
ARVIN COMMUNITY HEALTH CENTER,35.20851,-118.83943,Kern,93203,3175 Collins Drive
ARCADIA MEDICAL PHARMACY,34.12575,-118.05184,Los Angeles,91007,3175 Collins Drive
WALGREENS #1080,33.74796,-116.90717,Riverside,92544,3175 Collins Drive
Riverside Medical Clinic - Eastvale Campus,33.97425,-117.56131,Riverside,92880,3175 Collins Drive
Adventist Health Tehachapi Valley - Mojave Mobile Clinic,35.04891,-118.16714,Kern,93501,3175 Collins Drive
CVS Pharmacy at 3575 Atlantic Avenue,33.82158,-118.18512,Los Angeles,90807,3175 Collins Drive
Umc Pharmacy (4318 W Victory Blvd),34.18458,-118.35832,Los Angeles,91505,3175 Collins Drive
True Vine Ministries (mobile clinic),37.80273,-122.27807,Alameda,94607,3175 Collins Drive
BEL AIR PHARMACY #516,38.42221,-121.44543,Sacramento,95758,3175 Collins Drive
PREFERRED PHARMACY,33.69252,-117.92099,Orange,92626,3175 Collins Drive
GRACE PHARMACY #MS1000321,33.98824,-117.89451,Los Angeles,91748,3175 Collins Drive
CVS Pharmacy at 8491 Santa Monica Blvd,34.09019,-118.37596,Los Angeles,90069,3175 Collins Drive
Dignity Health Medical Foundation- North State- Redding,40.58048,-122.39421,Shasta,96001,3175 Collins Drive
First Medical Center,33.85887,-118.08047,Los Angeles,90703,3175 Collins Drive
Corcoran RAC - mobile clinic,36.10115,-119.57293,Kings,93212,3175 Collins Drive
Shasta Regional Medical Center,40.58504,-122.3878,Shasta,96001,3175 Collins Drive
Family Medical Pharmacy,33.86706,-118.07261,Los Angeles,90701,3175 Collins Drive
French Hospital Medical Center – San Luis Obispo,35.27797,-120.65127,San Luis Obispo,NA,3175 Collins Drive
Apple Urgent Care - 1207 E Florida,33.74736,-116.95934,Riverside,92543,1207 E Florida Ave
NEW 1 PHARMACY,34.08003,-118.09038,Los Angeles,91776,1207 E Florida Ave
Rose Pharmacy (1220 W Hemlock Way Ste 110),33.70968,-117.88442,Orange,92707,1207 E Florida Ave
SAVON PHARMACY #2543,34.08694,-118.14996,Los Angeles,91803,1207 E Florida Ave
BrookLin Oaks Pharmacy Inc.,35.62683,-120.69143,San Luis Obispo,93446,1207 E Florida Ave
Sharp - Grossmont Center Mall Super Station,32.77808,-117.01129,San Diego,91942,1207 E Florida Ave
Loma Linda Veterans Affairs Medical Center,34.05006,-117.25271,San Bernardino,92357,1207 E Florida Ave
WALMART PHARMACY 10-5162,34.44403,-118.57597,Los Angeles,91355,1207 E Florida Ave
COMMUNITY MED PHARMACY,34.08874,-117.89263,Los Angeles,91723,1207 E Florida Ave
San Jose Medical Center – San Jose,37.23907,-121.80168,Santa Clara,95119,1207 E Florida Ave
CVS Pharmacy at 2140 Grass Valley Hwy,38.93458,-121.09264,Placer,95603,1207 E Florida Ave
Central Neighborhood Health Foundation,34.01761,-118.25574,Los Angeles,90011,1207 E Florida Ave
Adventist Health Tehachapi Valley - California City Mobile Clinic,35.13321,-117.9624,Kern,93505,8567 Raven Way
St. John’s Well Child and Family Center Avalon Clinic,33.97763,-118.26496,Los Angeles,90003,6818 Avalon Blvd.
WALGREENS #2623,32.61336,-117.06883,San Diego,91911,6818 Avalon Blvd.
Wilmington Community Clinic,33.78319,-118.26299,Los Angeles,90744,6818 Avalon Blvd.
ADVENTIST HEALTH SONORA - STOCKTON ST.,37.98275,-120.38626,Tuolumne,95370,6818 Avalon Blvd.
Guerneville Elementary School,38.51117,-122.9962,Sonoma,95446,6818 Avalon Blvd.
CVS Pharmacy at 4570 Atlantic Avenue,33.82647,-118.185,Los Angeles,90807,6818 Avalon Blvd.
Razi Pharmacy,33.62717,-117.67971,Orange,92691,6818 Avalon Blvd.
Cardinal Café,37.48553,-122.20453,San Mateo,94063,6818 Avalon Blvd.
Ampla Health: Arbuckle Medical & Dental,39.02113,-122.06227,Colusa,95912,6818 Avalon Blvd.
Zane Pharmacy,33.61807,-117.70414,Orange,92630,6818 Avalon Blvd.
Bridge Home Health Services Inland Empire,34.06864,-117.58948,San Bernardino,91764,6818 Avalon Blvd.
St. John’s Well Child and Family Center Crenshaw Adult & Pediatric Clinic,34.00709,-118.33507,Los Angeles,90008,4251 Crenshaw Blvd.
Plumas County Public Health Clinic,39.95256,-120.9644,Plumas,95971,4251 Crenshaw Blvd.
Lucky Pharmacy (15840 Hesperian Blvd),37.68226,-122.12697,Alameda,94580,4251 Crenshaw Blvd.
South Oxnard Public Health,34.1764,-119.17998,Ventura,93033,4251 Crenshaw Blvd.
Mobile Clinic: Portola High School,39.80184,-120.46603,Plumas,96122,4251 Crenshaw Blvd.
San Bruno VA Clinic,37.635,-122.42547,San Mateo,94066,4251 Crenshaw Blvd.
Beach Professional Pharmacy,33.70447,-117.98718,Orange,92647,4251 Crenshaw Blvd.
Mobile Clinic: Greenville High School,40.1395,-120.94445,Plumas,95947,4251 Crenshaw Blvd.
The Medicine Shoppe Pharmacy (174 S Sunrise Way),33.82176,-116.52807,Riverside,92262,4251 Crenshaw Blvd.
Walgreens #12528,38.3807,-120.80348,Amador,95685,4251 Crenshaw Blvd.
Peoples Pharmacy,35.37516,-118.93823,Kern,93306,4251 Crenshaw Blvd.
CVS Pharmacy® at 701 Rio Rancho Road Pomona,34.0334,-117.7565,Los Angeles,91766,4251 Crenshaw Blvd.
CVS Pharmacy Inc. #09682,34.1861,-118.62751,Los Angeles,91367,4251 Crenshaw Blvd.
OneMedical - Spear Street,37.79126,-122.39202,San Francisco,94105,4251 Crenshaw Blvd.
CVS Pharmacy at 230 Atlantic Ave,38.0079,-121.88895,Contra Costa,94565,4251 Crenshaw Blvd.
CVS Pharmacy® at 2610 Bishop Dr San Ramon CA 94583,37.7621,-121.9642,Contra Costa,94583,4251 Crenshaw Blvd.
William S. Longfellow M.D INC,33.74358,-116.41188,Riverside,92270,4251 Crenshaw Blvd.
SCMC - 14550 Haynes St.,34.18955,-118.45064,Los Angeles,91411,4251 Crenshaw Blvd.
Goleta Valley Cottage Hospital – Santa Barbara,34.43333,-119.81041,Santa Barbara,93111,4251 Crenshaw Blvd.
CVS #8892,33.98886,-118.29134,NA,90044,4251 Crenshaw Blvd.
KML PHARMACY INC,37.29465,-122.03313,Santa Clara,95014,4251 Crenshaw Blvd.
RITE AID PHARMACY 05470,33.91892,-118.41403,Los Angeles,90245,4251 Crenshaw Blvd.
WALGREENS #10852,33.52463,-117.71576,Orange,92677,4251 Crenshaw Blvd.
PRESCRIPTION PHARMACY,34.44241,-119.75905,Santa Barbara,93110,4251 Crenshaw Blvd.
Six 55 Pharmacy,34.58747,-118.14259,Los Angeles,93551,4251 Crenshaw Blvd.
Main St. Pharmacy,33.87259,-117.56642,Riverside,92882,823 S Main St #102
COSTCO PHARMACY #762,34.66129,-118.15143,Los Angeles,93534,823 S Main St #102
San Ysidro Health CVMP,32.62857,-117.07533,San Diego,91910,823 S Main St #102
The Medicine Shoppe Pharmacy (227 W Janss Rd),34.20697,-118.88433,Ventura,91360,823 S Main St #102
BIOMED PHARMACY SOLUTIONS,34.07338,-118.38114,Los Angeles,90048,823 S Main St #102
WALGREENS #9030,35.63719,-117.67206,Kern,93555,823 S Main St #102
GENRX DRUG,33.68562,-117.36762,Riverside,92530,823 S Main St #102
Princeton Manor Healthcare Center,37.76982,-122.19587,Alameda,94621,823 S Main St #102
